time,energy,datetime,date,year,month,day,hour,minute,runningdate
1641447000,0.2,2022-01-06T05:30:00Z,2022-01-06,2022,1,6,5,30,106
1641448800,0.33,2022-01-06T06:00:00Z,2022-01-06,2022,1,6,6,0,106
1641450600,0.57,2022-01-06T06:30:00Z,2022-01-06,2022,1,6,6,30,106
1641452400,0.42,2022-01-06T07:00:00Z,2022-01-06,2022,1,6,7,0,106
1641454200,0.25,2022-01-06T07:30:00Z,2022-01-06,2022,1,6,7,30,106
1641456000,0.25,2022-01-06T08:00:00Z,2022-01-06,2022,1,6,8,0,106
1641457800,0.23,2022-01-06T08:30:00Z,2022-01-06,2022,1,6,8,30,106
1641459600,0.22,2022-01-06T09:00:00Z,2022-01-06,2022,1,6,9,0,106
1641461400,0.2,2022-01-06T09:30:00Z,2022-01-06,2022,1,6,9,30,106
1641463200,0.13,2022-01-06T10:00:00Z,2022-01-06,2022,1,6,10,0,106
1641465000,0.22,2022-01-06T10:30:00Z,2022-01-06,2022,1,6,10,30,106
1641466800,0.23,2022-01-06T11:00:00Z,2022-01-06,2022,1,6,11,0,106
1641468600,0.19,2022-01-06T11:30:00Z,2022-01-06,2022,1,6,11,30,106
1641470400,0.16,2022-01-06T12:00:00Z,2022-01-06,2022,1,6,12,0,106
1641472200,0.21,2022-01-06T12:30:00Z,2022-01-06,2022,1,6,12,30,106
1641474000,0.59,2022-01-06T13:00:00Z,2022-01-06,2022,1,6,13,0,106
1641475800,0.17,2022-01-06T13:30:00Z,2022-01-06,2022,1,6,13,30,106
1641477600,0.64,2022-01-06T14:00:00Z,2022-01-06,2022,1,6,14,0,106
1641479400,0.36,2022-01-06T14:30:00Z,2022-01-06,2022,1,6,14,30,106
1641481200,0.26,2022-01-06T15:00:00Z,2022-01-06,2022,1,6,15,0,106
1641483000,0.22,2022-01-06T15:30:00Z,2022-01-06,2022,1,6,15,30,106
1641484800,0.37,2022-01-06T16:00:00Z,2022-01-06,2022,1,6,16,0,106
1641486600,0.25,2022-01-06T16:30:00Z,2022-01-06,2022,1,6,16,30,106
1641488400,0.21,2022-01-06T17:00:00Z,2022-01-06,2022,1,6,17,0,106
1641490200,0.19,2022-01-06T17:30:00Z,2022-01-06,2022,1,6,17,30,106
1641492000,0.2,2022-01-06T18:00:00Z,2022-01-06,2022,1,6,18,0,106
1641493800,0.18,2022-01-06T18:30:00Z,2022-01-06,2022,1,6,18,30,106
1641495600,0.42,2022-01-06T19:00:00Z,2022-01-06,2022,1,6,19,0,106
1641497400,0.31,2022-01-06T19:30:00Z,2022-01-06,2022,1,6,19,30,106
1641499200,0.37,2022-01-06T20:00:00Z,2022-01-06,2022,1,6,20,0,106
1641501000,0.34,2022-01-06T20:30:00Z,2022-01-06,2022,1,6,20,30,106
1641502800,0.37,2022-01-06T21:00:00Z,2022-01-06,2022,1,6,21,0,106
1641504600,0.32,2022-01-06T21:30:00Z,2022-01-06,2022,1,6,21,30,106
1641506400,0.39,2022-01-06T22:00:00Z,2022-01-06,2022,1,6,22,0,106
1641508200,0.23,2022-01-06T22:30:00Z,2022-01-06,2022,1,6,22,30,106
1641510000,0.18,2022-01-06T23:00:00Z,2022-01-06,2022,1,6,23,0,106
1641511800,0.14,2022-01-06T23:30:00Z,2022-01-06,2022,1,6,23,30,106
1641513600,0.16,2022-01-07T00:00:00Z,2022-01-07,2022,1,7,0,0,107
1641515400,0.15,2022-01-07T00:30:00Z,2022-01-07,2022,1,7,0,30,107
1641517200,0.15,2022-01-07T01:00:00Z,2022-01-07,2022,1,7,1,0,107
1641519000,0.14,2022-01-07T01:30:00Z,2022-01-07,2022,1,7,1,30,107
1641520800,0.17,2022-01-07T02:00:00Z,2022-01-07,2022,1,7,2,0,107
1641522600,0.12,2022-01-07T02:30:00Z,2022-01-07,2022,1,7,2,30,107
1641524400,0.16,2022-01-07T03:00:00Z,2022-01-07,2022,1,7,3,0,107
1641526200,0.13,2022-01-07T03:30:00Z,2022-01-07,2022,1,7,3,30,107
1641528000,0.16,2022-01-07T04:00:00Z,2022-01-07,2022,1,7,4,0,107
1641529800,0.14,2022-01-07T04:30:00Z,2022-01-07,2022,1,7,4,30,107
1641531600,0.13,2022-01-07T05:00:00Z,2022-01-07,2022,1,7,5,0,107
1641533400,0.28,2022-01-07T05:30:00Z,2022-01-07,2022,1,7,5,30,107
1641535200,0.37,2022-01-07T06:00:00Z,2022-01-07,2022,1,7,6,0,107
1641537000,0.58,2022-01-07T06:30:00Z,2022-01-07,2022,1,7,6,30,107
1641538800,0.41,2022-01-07T07:00:00Z,2022-01-07,2022,1,7,7,0,107
1641540600,0.37,2022-01-07T07:30:00Z,2022-01-07,2022,1,7,7,30,107
1641542400,0.26,2022-01-07T08:00:00Z,2022-01-07,2022,1,7,8,0,107
1641544200,0.2,2022-01-07T08:30:00Z,2022-01-07,2022,1,7,8,30,107
1641546000,0.27,2022-01-07T09:00:00Z,2022-01-07,2022,1,7,9,0,107
1641547800,0.23,2022-01-07T09:30:00Z,2022-01-07,2022,1,7,9,30,107
1641549600,0.36,2022-01-07T10:00:00Z,2022-01-07,2022,1,7,10,0,107
1641551400,0.14,2022-01-07T10:30:00Z,2022-01-07,2022,1,7,10,30,107
1641553200,0.18,2022-01-07T11:00:00Z,2022-01-07,2022,1,7,11,0,107
1641555000,0.21,2022-01-07T11:30:00Z,2022-01-07,2022,1,7,11,30,107
1641556800,0.61,2022-01-07T12:00:00Z,2022-01-07,2022,1,7,12,0,107
1641558600,0.24,2022-01-07T12:30:00Z,2022-01-07,2022,1,7,12,30,107
